suburb,postcode,state,state_name,lat,lng
Coral Bay,6701,WA,Western Australia,-23.1433,113.7729
East Carnarvon,6701,WA,Western Australia,-24.86918,113.67132
Muchea,6501,WA,Western Australia,-31.54957,115.94041
Collie,6225,WA,Western Australia,-33.35974,116.14715
Allanson,6225,WA,Western Australia,-33.32715,116.08859
Kambalda West,6442,WA,Western Australia,-31.1717,121.58568
Kambalda East,6442,WA,Western Australia,-31.21632,121.71213
Coolgardie,6429,WA,Western Australia,-30.94686,121.15405
Corrigin,6375,WA,Western Australia,-32.33498,117.8867
Cuballing,6311,WA,Western Australia,-32.82533,117.16452
Cue,6640,WA,Western Australia,-27.44715,117.88763
Cervantes,6511,WA,Western Australia,-30.50682,115.06698
Eaton,6232,WA,Western Australia,-33.31073,115.71802
Australind,6233,WA,Western Australia,-33.28287,115.71898
Millbridge,6232,WA,Western Australia,-33.30664,115.73541
Burekup,6227,WA,Western Australia,-33.32725,115.84725
Dardanup,6236,WA,Western Australia,-33.40318,115.77827
Ocean Beach,6333,WA,Western Australia,-35.00856,117.29035
Denmark,6333,WA,Western Australia,-34.96822,117.34875
Fitzroy Crossing,6765,WA,Western Australia,-18.18997,125.5753
Donnybrook,6239,WA,Western Australia,-33.55106,115.81388
Dumbleyung,6350,WA,Western Australia,-33.30479,117.76393
Norseman,6443,WA,Western Australia,-32.31609,121.1085
Marble Bar,6760,WA,Western Australia,-21.16443,119.62587
Nullagine,6758,WA,Western Australia,-21.95712,120.2919
Newman,6753,WA,Western Australia,-23.02411,119.86403
Nulsen,6450,WA,Western Australia,-33.85503,121.87336
Castletown,6450,WA,Western Australia,-33.83382,121.90682
Chadwick,6450,WA,Western Australia,-33.83591,121.88013
Esperance,6450,WA,Western Australia,-33.86154,121.89164
Windabout,6450,WA,Western Australia,-33.82112,121.90877
Sinclair,6450,WA,Western Australia,-33.86534,121.87369
Exmouth,6707,WA,Western Australia,-21.95343,114.11445
Beachlands,6530,WA,Western Australia,-28.78618,114.60143
Geraldton,6530,WA,Western Australia,-28.77587,114.61108
Beresford,6530,WA,Western Australia,-28.75566,114.61873
Bluff Point,6530,WA,Western Australia,-28.73798,114.62275
Sunset Beach,6530,WA,Western Australia,-28.71927,114.62347
Wonthella,6530,WA,Western Australia,-28.76893,114.63403
Rangeway,6530,WA,Western Australia,-28.78758,114.63005
Webberton,6530,WA,Western Australia,-28.75214,114.63178
Utakarra,6530,WA,Western Australia,-28.78016,114.6506
West End,6530,WA,Western Australia,-28.77809,114.58999
Spalding,6530,WA,Western Australia,-28.73503,114.63475
Mahomets Flats,6530,WA,Western Australia,-28.7929,114.61202
Tarcoola Beach,6530,WA,Western Australia,-28.81053,114.6218
Mount Tarcoola,6530,WA,Western Australia,-28.79744,114.62636
Lancelin,6044,WA,Western Australia,-31.02242,115.359
Gabbadah,6041,WA,Western Australia,-31.29115,115.50231
Woodridge,6041,WA,Western Australia,-31.33156,115.59971
Guilderton,6041,WA,Western Australia,-31.33828,115.50757
Gingin,6503,WA,Western Australia,-31.3432,115.91376
Gnowangerup,6335,WA,Western Australia,-33.93523,118.00553
Goomalling,6460,WA,Western Australia,-31.29739,116.84101
Glenfield,6532,WA,Western Australia,-28.69561,114.61831
Strathalbyn,6530,WA,Western Australia,-28.74875,114.64614
Karloo,6530,WA,Western Australia,-28.80189,114.64119
Drummond Cove,6532,WA,Western Australia,-28.67339,114.61561
Deepdale,6532,WA,Western Australia,-28.78101,114.68214
